Mesto;Latitude;Longitude;Opis;Tip;Tip_ID
Germenj;40.21439;20.64637;P pred turisticnim objektom Farma Sotira, zelo lepo urejeno, sredi narave, prostor za prespati, gojijo tudi ribe;P;Parking
Korce;40.62440;20.78270;Brezplacno parkirisce pri stadionu;P;Parking
Piskupat;40.99860;20.63640;Ohridsko jezero, kamp Rei, 5E/avtodom;KAMP;KAMP
Kukes;42.09950;20.41920;P pred restavracijo;P;Parking
Patok;41.63633;19.59009;Laguna Patokut, Keneta e Patokut, hiske na kolih, ptice;Z;Zanimivo
Shengjin;41.78614;19.62862;Kamp Riviera;KAMP;KAMP
Shengjin;41.79179;19.62308;Hotel Aragosta, odlicna restavracija;P;Parking
Shengjin;41.80339;19.60031;Brezplacno parkirisce pri plazi;P;Parking
Sarande;39.97480;19.91322;Kamp Lukove, kamp za 5E nudi sencni P, WC in tus ter taverno, do morja pelje spust po ovinkasti asfaltirani cesti, ki ima na koncu privat zemljisce namenjeno avtodomom, bolj okretni se lahko pred plazo odcepijo levo in po 300m parkirajo na travnik za majhnimi gostisci. Paziti je treba nizke zice, ki so preko dreves speljane do malih restavracij. Poleti guzva, marele, bari.;KAMP;KAMP
Koman;42.09916;19.81692;Kamp v kraju Koman, prijeten, 5E, ob reki blizu jezu, trajekt ob 10h iz Koman-Fierze, cudovita soteska, krasni razgledi;KAMP;KAMP
Koman;42.10549;19.82587;Trajekt za kanjon po jezeru Komani, skozi kamniti tunel;Z;Zanimivo
Koman;42.41292;20.01998;P, v divjini, v parku Valbon, ob reki, spanje;P;Parking
Mes Bridge;42.11419;19.57501;Mes Bridge Ura e Mesit bridge in the middle , most podoben mostarskemu, 108m dolg, zgrajen v 18 stoletju;Z;Zanimivo
Skadar;42.01614;19.51720;P BS Gega Oil ob cesti 5 km J pred Skadarjem;P;Parking
Skadar;42.04406;19.48885;Kamp Legjenda, 15E/AD, <a href=http://www.campercontact.com/en/albania/shkoder/shkoder/45588/camping-legjenda target=_blank>more info</a>;KAMP;KAMP
Skadar;42.04736;19.49630;Parkirisce pod gradom Rozafa, 1E;P;Parking
Skadar;42.05043;19.49252;P, ob reki, in starem mostu, izhodisce za Rozafa grad;P;Parking
Skadar;42.05294;19.48791;PZA Marko, 5E/AD, <a href=http://www.campercontact.com/en/albania/shkoder/shkoder/69185/camp-marko target=_blank>more info</a>;PZA;PZA
Skadar;42.06469;19.50952;Skadar P, v blizini centra in sodisca, mirno;P;Parking
Skadar;42.13836;19.46563;Lake Shkodra resort, lep kamp, hrana, pijaca, sanitarije, tusi, urejeno, wifi, 17,5E/dan <a href=http://www.lakeshkodraresort.com target=_blank>more info...</a>;KAMP;KAMP
Theth;42.38855;19.71962;Konec asfaltne poti proti vasi Theth, do tukaj mozen dostop z vsakim vozilom;Z;Zanimivo
Theth;42.39400;19.77663;Kamp Zorgji, 8E/AD, zraven restavracije, ne prevec ciste sanitarije, slab makadam, <a href=http://park4night.com/lieu/134164//qender-theth-4009-rruga-fushe/albania/shkod target=_blank>more info...</a>;KAMP;KAMP
Vusanje;42.45391;19.88751;P, spanje, v senci med borovci;P;Parking
Divjake;40.97240;19.47900;P na plazi, mivka, v parku Divjake, vse zelo primitivno, smeti, ptice, <a href=http://akzm.gov.al target=_blank>more info...</a>;P;Parking
Durres;41.23258;19.51745;Kamp Hotel Camping Mali i Robit, 15km J od Draca, 100m od urejene plaze, mirno, senca, odprt celo leto, cca 10E/dan, <a href=http://www.hotelcampingmr.webs.com target=_blank>more info...</a>;KAMP;KAMP
Durres;41.31891;19.44506;P, v samem centru mesta, placljivo;P;Parking
Golem;41.25574;19.52057;P na plazi Golem, mivka, zraven je bar z wifi, v dogovoru z lastnikom mozno spanje;P;Parking
Kavaje;41.18135;19.47753;Kamp Pa Emer, 18E lepo urejen manjsi terasast kamp z vso infrastrukturo, na obali je manjsi otocek z restavracijo, <a href=http://www.kampingpaemer.com target=_blank>more info...</a>;KAMP;KAMP
Tirana;41.31836;19.82258;P pred stadionom Qemal Stafa, cca 1.5km do centra, 100 lekov;P;Parking
Tirana;41.32269;19.81111;Placljiv parking blizu centra Tirana, poceni, varovano;P;Parking
Tirana;41.32304;19.82151;Betonska piramida, nekoc muzej Enver Hoxha, danes razvalina;Z;Zanimivo
Tirana;41.32771;19.81727;P Tirana, v centru pred banko Scquiperise;P;Parking
Tirana;41.32790;19.81855;Center Tirane Skanderbeg Square;Z;Zanimivo
Tirana;41.32859;19.81551;P, center mesta, makadam, stric, ki pobira simbolicen prispevek za parkiranje;P;Parking
Bistrice;39.91870;20.14137;voda, Bistrice, SV od Sarande, zajetje bistre studencnice ob cesti;V;Voda
Borsh;40.04908;19.84366;Plaza Borsh pred mostickom manjsi betonski plato za parkiranje, makadam, 1km naprej srednje velika trgovina in sladoledar, spanje, poleti guzva, marele, bari;Z;Zanimivo
Borsh;40.06160;19.85783;Gostisce Ujevara , ob cesti izvir vode. Ogromno vode so v obliki majhnih slapov speljali med mizami za goste, ki so na razlicnih visinskih nivojih povezani s stopnicami in majhnimi mostovi. Vsak separe ima svoj slap. Vrtu dajejo senco ogromna drevesa. Pod restavracijo ob cesti so pipe za tocenje pitne vode.;P-V;PZA
Borshi;40.04335;19.85645;Plaza Borshi, nic posebnega;Z;Zanimivo
Bunec;40.00634;19.89077;Plaza Bunec, kamencki, makadamski dostop, pomol, spust do plaze iz vasice Bunec je do morja enostaven, desno nad plazo prostora za nekaj AD, levo ob obali makadam, cez ~700m parking nad plazo za restavracijo, poleti gneca za parkiranje;Z;Zanimivo
Butrint;39.74405;20.01864;Trajekt splav na jeklenico, varno za AD, 10E, mozno spanje pred vhodom v grad takoj po trajektu;Z;Zanimivo
Butrint;39.74607;20.02052;Butrint, UNESCO Kulturna dediscina;Z;Unesco
Dhermi;40.14212;19.63941;P, spali nasproti gostilne, tik pred koncem plaze, dostop po makadamu in preko reke;P;Parking
Dhermi;40.14323;19.63702;P Dhermi ob plazi, super mivka, kristalna voda, zaradi galame nemogoce spati, ozka ovinkasta cesta;P;Parking
Dhermi;40.15939;19.60025;Plaza Leja Colnar, dostop skozi luknjo v skali na koncu plaze Drymades;Z;Zanimivo
Dhermi;40.16747;19.58702;Plaza Palases, pod prelazom Llogara, 1.odcep od glavne ceste, nova zelo strma asfaltirana cesta z dolgimi klanci, mivka in beli prod, morje sinje modre barve, lokalci pobirajo 5E za spanje;Z;Zanimivo
Dhermi;40.17508;19.60507;Odcep za plazo Palases, nova asfaltirana cesta;Z;Zanimivo
Himara;40.08142;19.76767;P plaza Lamami beach, spanje, mozna oskrba 5E,vidi se restavracija in bela pescena obala;P;Parking
Himare;40.10762;19.72710;Camping Kranea, ob morju, senca, <a href=http://www.camping-kranea.com target=_blank>more info...</a>;KAMP;KAMP
Himare;40.10863;19.72520;plaza, sami kampi dalec do vode cca 100m;Z;Zanimivo
Jale;40.11958;19.70197;Plaza Jale, polna, parkiranje na asfaltni cesti;Z;Zanimivo
Jale;40.12091;19.70152;Kamp Jal, plaza, nova asfaltna cesta, lepa obala, <a href=http://www.jalkamp.com target=_blank>more info...</a>;KAMP;KAMP
Kakomea;39.92716;19.93911;Lepa plaza, ni mozen dostop, vojska;Z;Zanimivo
Ksamil;39.74947;19.97481;P, dostop makadamski, na koncu rta, spali na povabilo lastnika brezplacno, bar na plazi in restavracija, nasproti Krfa, mimo vozijo trajekti in ladje;P;Parking
Ksamil;39.77807;20.00589;PZA camper stop v Ksamilu s super prijaznima lastnikoma, prej nekaj makadama;PZA;PZA
Ksamil;39.77981;20.00785;P od gostilne El Dorado, hrana ribe, pizza OK, cene tudi, Butrint National Park;P;Parking
Livadh;40.10950;19.72181;Plaza Livadh, dolga, mivkasta, taverna;Z;Zanimivo
Livadh;40.10976;19.72282;KAMP Moscato camping, zelo prijazen lastnik, lep in cist kamp, izven sezone mozno spanje J cisto na koncu zaliva, mivka, poleti guzva, marele, bari, kampi;KAMP;KAMP
Llogara;40.19695;19.59750;Prelaz Llogara, 1043m, lep razgled;Z;Zanimivo
Orikum;40.34170;19.47740;Kamp Kume, 10E/AD;KAMP;KAMP
Palermo;40.06210;19.79340;P plaza pod Ali Pasha trdnjavo na polotoku, JV od Palermo, srednjeveska trdnjave 0,80E, dostop 100m ozek makadam, poleti guzva, marele, lezalniki;P;Parking
Qeparo;40.05255;19.80358;P restavracije Panorama ob morju, Z od Qeparo, spanje;P;Parking
Sarande;39.80422;20.00535;Plaza Pasqyra, ravno, podnevi guzva, dostop strm makadam, brat z AD gladko zvozil, ponoci mir, J od Sarande;Z;Zanimivo
Sarande;39.86578;20.02651;P na vzpetini, ostanki gradu Lekuresi z gostinsko ponudbo in odlicnim razgledom na hribe, Sarando, morje, odlicen plac kar se razgleda tice, tu se da verjetno brez problema v miru prespat, nocni razgledi na Sarando;P-Z;Parking
Sarande;39.87326;20.00233;P Sarande, ob bogato zalozeni trznici;P;Parking
Syri e Kalter;39.92440;20.19228;Izvir Syri e Kalter Blue Eye, P, spanje super, sencka, izvir a la Kamniska Bistrica, voda bruha ven iz globine 45 m in to 7m3/sekundo, vstopnina 50 Lekov/os. + 100 Lekov/avto;P;Parking
Vlora;40.37800;19.47963;Privat mali kamp, tik ob morju, <a href=http://www.facebook.com/campingvlora target=_blank>more info...</a>;KAMP;KAMP
Vlore;40.20311;19.58760;voda J od Vlore, studencnica;V;Voda
Vlore;40.21025;19.57913;PZA, 5E/AD;PZA;PZA
Vlore;40.45209;19.48568;P Vlore v centru, spanje, promenada, gostinski lokali, dolga pescena plaza;P;Parking
Vlore;40.52594;19.38914;Plaza Zvernec, rjava mivka, nic posebnega, dostop obupen luknjast makadam 2km, ponoci mir, cez dan nekaj domacinov, SZ od Vlore, spanje;Z;Zanimivo
Kasbah of Algiers;36.78333;3.06028;Kasbah of Algiers, UNESCO Kulturna dediscina;Z;Unesco
MZab Valley;32.48333;3.68333;MZab Valley, UNESCO Kulturna dediscina;Z;Unesco
Tassili nAjjer;25.50000;9.00000;Tassili nAjjer, UNESCO Kulturna in naravna dediscina;Z;Unesco
Timgad;35.45000;6.63333;Timgad, UNESCO Kulturna dediscina;Z;Unesco
Al Qal a of Beni Hammad;35.81844;4.78684;Al Qal a of Beni Hammad, UNESCO Kulturna dediscina;Z;Unesco
Djemila;36.32056;5.73667;Djemila, UNESCO Kulturna dediscina;Z;Unesco
Tipasa;36.55000;2.38333;Tipasa, UNESCO Kulturna dediscina;Z;Unesco
Andorra la Vella;42.50581;1.52212;P, v centru, placljivo, najvisje glavno mesto v Evropi, 1023m;P;Parking
Andorra la Vella;42.50695;1.52855;P, v centru, placljivo;P;Parking
El Serrat;42.62608;1.55178;P, Vall de Sorteny, prepovedano ponoci, izhodisce za planinske pohode;P;Parking
El Serrat;42.63121;1.48505;P na vrhu smucisca in priljubljene zavite ceste Arcalis, asfalt, rahlo visi, izhodisce za planinske pohode do jezer Tristaina;P;Parking
El Serrat;42.63154;1.50238;P na zacetku smucisca in priljubljene zavite ceste Arcalis, asfalt, izhodisce za planinske pohode;P;Parking
Encamp;42.53034;1.59972;P, brezplacno, od tu z avtobusom ali pes v Encamp;P;Parking
Encamp;42.53287;1.57777;PZA Cami Terres Primeres Baix, 24E/dan, sanitarna, <a href=http://park4night.com/lieu/13240//encamp-cami-terres-primeres-baix/andorra target=_blank>more info...</a>;PZA;PZA
Encamp;42.53545;1.58887;PZA Encamp, 6E/dan, strmo in visi, ni za vecje AD, <a href=http://park4night.com/lieu/13238//encamp-travessia-encamp-paradis/andorra target=_blank>more info...</a>;PZA;PZA
Les Escaldes;42.51752;1.56810;P nad mestom, pri jezeru Engolasters, sprehod ob jezeru, zelo lepo;P;Parking
Les Escaldes;42.51754;1.57109;Madriu-Perafita-Claror Valley, UNESCO Kulturna dediscina, <a href=http://www.madriu-perafita-claror.ad target=_blank>more info...</a>;Z;Unesco
Port de Envalira;42.54040;1.71880;P na prelazu 2408, malo pred vasjo Pas de la Casa, brezplacno, mozno spanje;P;Parking
Sant Julia de Loria;42.44193;1.50017;Naturlandia, zabaviscni park, najdaljsa sankaska proga na tirnicah na svetu, <a href=http://www.naturlandia.ad target=_blank>more info...</a>;Z;Zanimivo
Sant Julia de Loria;42.45342;1.48616;PZA, za trgovskim centrom, sanitarna, brezplacno, <a href=http://www.campercontact.com/en/andorra/andorra/st-julia-de-loria/19758/area-de-autocaravanes-river target=_blank>more info</a>;PZA;PZA
Gloucester;51.86727;-2.24675;Gloucester Cathedral, katedrala, kje so snemali Harry Potterja v filmu The Chamber of Secrets;Z;Zanimivo
Portishead;51.49239;-2.77275;P Portishead, brezplacno, brez oskrbe, na obali, wi-fi v bliznjem lokalu;P;Parking
The Thames Head;51.68011;-2.01486;Izhodisce za izvir Temze THE THAMES HEAD INN, P ob cesti, pot vodi cez polja cca 2km;Z;Zanimivo
The Thames Head;51.69458;-2.02978;Izvir Temze;Z;Zanimivo
Alnwick;55.41354;-1.69956;Alnwick garden, botanicni vrt strupenih rastlin, vstopnina 14F/osebo;Z;Zanimivo
Alnwick;55.41395;-1.70523;Grad Alnwick, placljiv P;P;Parking
Alnwick;55.41411;-1.69802;Hisa in restavracija na drevesu, P, prepovedano za avtodome, <a href=http://www.alnwickgarden.com/visit-the-alnwick-garden/the-treehouse target=_blank>more info...</a>;Z;Zanimivo
Ambleside;54.42933;-2.96773;Spanje na parkirnem zraven PZA-ja, ponoci zastonj;P;Parking
Arundel;50.85426;-0.55052;P, placljivo, pri gradu, spanje mozno samo ob telefonskem dogovoru;P;Parking
Ashbourne;53.10636;-1.75825;Kamp Rivendale, <a href=http://www.rivendalecaravanpark.co.uk target=_blank>more info...</a>;KAMP;KAMP
Avebury;51.41633;-1.86264;P za Silbury Hill, ob cesti, prepovedano cez noc;P;Parking
Avebury;51.42578;-1.85803;P, 7F, Avebury so trije kamniti krogi, najvecji premer na svetu 427m, najvecje, najbolj impresivno in kompleksno prazgodovinsko mesto v UK.;P;Parking
Avebury;51.42803;-1.85516;Neolitski kamni v krogu, okoli vasi Avebury , Stonehenge v malem;Z;Zanimivo
Aysgarth Falls;54.29139;-1.98410;Slapovi na reki Ure, mesto, kjer so snemali Robina Hooda Kevin Costner;Z;Zanimivo
Bakewell;53.21445;-1.67104;P, 5F/dan, 2F/noc, zacetek kolesarsko pohodniske poti Monsal Trail, cca 13km po stari zelezniski progi Peak District narodni park;P;Parking
Bakewell;53.22754;-1.61156;Chatsworth House, hisa grofov Devonshire;Z;Zanimivo
Bakewell;53.25064;-1.83291;Konec kolesarsko pohodnise poti Monsal Trail, cca 13km po stari zelezniski progi, Peak District narodni park;Z;Zanimivo
Bamburg;55.60719;-1.71028;P pri gradu Bamburgh Castle, po potki mimo gradu do dolge, lepe pescene plaze, spanje;P;Parking
Baslow;53.24550;-1.61465;P, 5F/dan, 1F/noc, wc;P-WC;PZA
Bath;51.38139;-2.35861;City of Bath, UNESCO Kulturna dediscina;Z;Unesco
Bath;51.38231;-2.37247;P pred trgovino Homebase, 1km do centra in rimskih term;P;Parking
Beachy Head;50.73717;0.24361;P, ob cesti za Beachy Head v South Downs National Park, visoki apnencasti klifi, placljivo;P;Parking
Beaulieu;50.82500;-1.45308;British National Motor Museum, <a href=http://www.beaulieu.co.uk target=_blank>more info...</a>;Z;Zanimivo
Berwick-upon-Tweed;55.67144;-1.91489;Voda na pipo, Gulf crpalka;V;Voda
Bibury;51.75740;-1.83074;P pri cerkvi, za ogled lepe vasice.;P;Parking
Bibury;51.76036;-1.83573;Tipicna vasica pokrajine CotsWold, lepe hiske, parki, mlini, reke, velja za najlepso vasico v CotsWold-u;P;Parking
Bigbury on Sea;50.28242;-3.89427;P, plaza, ob plimi sprehod do otocka Burgh Island, mozno spanje;P;Parking
Birmingham;52.44350;-1.70570;P Birmingham, muzej za ljubitelje motorjev National motorcycle museum, spanje z dovoljenjem usluzbenca;P;Parking
Birmingham;52.47778;-1.89226;Selfridges-Future systems, nenavadna stavba;Z;Zanimivo
Blackpool;53.79310;-3.05810;High Tide Organ, morske orgle, podobno kot v Zadru, na parkingu visinska ovira, zraven je velik zabaviscni park;Z;Zanimivo
Blackpool;53.81609;-3.05585;Blackpool Tower, 154m visok stolp, podoben Eiffel-u, v razgledni ploscadi so steklena tla, vstopnina F13.50;Z;Zanimivo
Blenheim;51.84194;-1.36139;Blenheim Palace, UNESCO Kulturna dediscina;Z;Unesco
Bodiam;51.00223;0.54354;Grad Bodiam, obdan z vodnim jarkom;Z;Zanimivo
Bourton-on-the-Water;51.88166;-1.75414;P, 5F/noc, v blizini je Birdland Park and Gardens, odprto od 10-00 do 18-00, vstopnina 9.95F, <a href=http://www.birdland.co.uk target=_blank>more info...</a> na njihovem parkiriscu je visinska ovira;P;Parking
Bourton-on-the-Water;51.88438;-1.75740;Tipicna vasica pokrajine CotsWold, lepe hiske, parki, mlini, reke, park The Old New Inn in Miniature Village , zelo lepo;Z;Zanimivo
Brampton;54.99261;-2.60100;Frontiers of the Roman Empire, UNESCO Kulturna dediscina;Z;Unesco
Bransgore;50.77798;-1.72782;Kamp, Harrow Wood Farm Car. Park, Bransgore, <a href=http://www.caravan-sites.co.uk target=_blank>more info...</a>;KAMP;KAMP
Bridgnorth;52.53404;-2.41715;Bridgnorth Cliff Railway, najstarejsa in najbolj strma mestna vlecnica v Angliji, <a href=http://www.bridgnorthcliffrailway.co.uk target=_blank>more info...</a>;Z;Zanimivo
Bridport;50.74191;-2.91548;Kamp Wood Farm Caravan and Camping Park, pod mestecem Axminster, <a href=http://www.woodfarm.co.uk target=_blank>more info...</a>;KAMP;KAMP
Brimham Rocks;54.07649;-1.68280;Brimham Rocks Idol Rock, skalne formacije nenavadnih oblik, velika skala sloni na manjsi skali, prost vstop, parkirnina 5F/dan, najbolj znana Idol Rock je povsem severno 54.082183, -1.686537;Z;Zanimivo
Broadway;52.02227;-1.83598;P za Broadway Tower Country Park, z 17m visokim saksonskim stolpom;P;Parking
Burford;51.57736;-1.57839;P, Uffington Castle-White Horse and Dragon Hil, 4F/dan;P;Parking
Burford;51.57760;-1.56701;Figura belega konja, narejena pred cca 3000 leti, <a href=http://www.nationaltrust.org.uk/white-horse-hill target=_blank>more info...</a>;Z;Zanimivo
Cadgwith;49.98933;-5.18316;P, zelo lepa vasica, s slamo krite strehe;P;Parking
Canterbury;51.26241;1.10258;PZA, je del vecjega P+R parkirisca, ponuja cca 20 mest, vodo, odtok in WC, elektrike ni, 3F/ 24 ur in parkirna kartica vam omogoca uporabo P+R avtobusa;PZA;PZA
Canterbury;51.27521;1.07274;P Aldi;P;Parking
Canterbury;51.28000;1.08333;Canterbury Cathedral, St Augustine s Abbey, and St Martin s Church, UNESCO Kulturna dediscina, zelo lepa katedrala;Z;Unesco
Canterbury;51.28164;1.08202;Crooked House, nagnjena, asimetricna hisa;Z;Zanimivo
Canterbury;51.28236;1.07656;P, pred samim vhodom v mesto, 1F/uro;P;Parking
Castle Combe;51.49334;-2.22903;Lep kraj, idlicne hiske, tipicna angleska vas;Z;Zanimivo
Castle Howard;54.12152;-0.90612;Castle Howard, lep grad;Z;Zanimivo
Castlerigg;54.60282;-3.09840;Castlerigg Stone Circle, kamni v krogu na lepem posestvu, lepa okolica, manjsi in menda starejsi od Stonehengea;Z;Zanimivo
Cerne Abbas;50.81303;-2.48069;Giant, brezplacni P s pogledom na velikana;P;Parking
Chartwell;51.24431;0.08319;Family home and garden of Sir Winston Churchill;Z;Zanimivo
Chatham;51.31780;0.50814;P Chatman, pred gostilno The Lower Bell, spanje seveda z njihovim dovoljenjem;P;Parking
Cheddar Gorge;51.28500;-2.75989;Cheddar Gorge, najglobji kanjon v Angliji, skozi pelje cesta, jame, najdeno najstarejse okostje Cheddar Man, cca 9000 let.;Z;Zanimivo
Chester;53.18409;-2.89452;P, uradno, osvetljeno, 5min do centra pes, 1,5F/noc 17-00-9-00, cez dan 5,8F;P;Parking
Chester;53.19020;-2.89160;Chester Rows, zanimive stavbe v dveh nadstropjih, v drugo nadstropje se pride po stopnicah iz ulice, osrednja nakupovalna ulica;Z;Zanimivo
Chester;53.22714;-2.89031;P R Upton, Chester, ob 21h pred vhodom na P spustijo in zaklenejo rampo, dovolijo prespati, bus v mesto 1,70F povratna;P;Parking
Chester;53.22762;-2.88561;Chester ZOO, eden boljsih zivalskih parkov, vstopnina 20F, <a href=http://www.chesterzoo.org target=_blank>more info...</a>;Z;Zanimivo
Chipping Campden;52.05423;-1.77625;Velik solski parking, brezplacno, hise sezidane iz rumenega kamna, mesto slovi po Cotswold Olimpick Games v brcanju goleni, enkrat letno na cetrtek in petek po Binkostni nedelji;P;Parking
Clovelly;50.99879;-4.40419;P nad vasjo, vas je 120m nizje, zelo lepa, v celoti v privat lastnistvu;P;Parking
Colchester;51.86219;0.83350;ZOO Colchester;Z;Zanimivo
Corfe Castle;50.64200;-2.05846;P, pred ostanki mogocnega gradu Corfe Castle, zelo lepo starodavno mestece;P;Parking
Cornwall;50.04115;-5.65214;Minack Theatre, odprto gledalisce na robu pecine;Z;Zanimivo
Cornwall;50.13611;-5.38361;Cornwall and West Devon Mining Landscape, UNESCO Kulturna dediscina;Z;Unesco
Cornwall;50.35817;-4.74358;Eden Project, P, brezplacni, velike polkrozne kupule;P;Parking
Cosford;52.64537;-2.29880;Velik P, brezplacno, mozno spanje;P;Parking
Cosford;52.64570;-2.31448;P Cosford, muzej vojaskih letal v Albrigton-u, R.A.F. museum, vstop je prost, placate samo parkirnino 3.5F/8h, spanje NI dovoljeno;P;Parking
Cramlington;55.08551;-1.63081;Northumberlandia, Lady of the North, velik zenski zemeljski kip v parku, prost vstop;Z;Zanimivo
Cropwell Bishop;52.91246;-0.98738;Proizvodnja in trgovina slavnega sira z modro plesnijo Stilton, <a href=http://www.cropwellbishopstilton.co.uk target=_blank>more info...</a>;Z;Zanimivo
Derbyshire;53.23135;-1.29711;Bolsover Castle;Z;Zanimivo
Derwent;53.02889;-1.48806;Derwent Valley Mills, UNESCO Kulturna dediscina;Z;Unesco
Devizes;51.35340;-2.02098;Kenneth-Avon Locks, parkirisce brez oskrbe, mozno spanje, 29 zapornic na hribu, tehniska dediscina;P;Parking
Diggerland Kent;51.38258;0.47875;Diggerland, park, kjer se lahko preizkusite na pravih gradbenih strojih, kopacih, , vstopnina 20F/osebo, <a href=http://www.diggerland.com target=_blank>more info...</a>;Z;Zanimivo
Dorset;50.62015;-2.25325;P za Durdle Door, SW Coast path in zaliv Lulworth Cove, najbolj geometricno popoln zaliv na svetu, <a href=http://www.jurassiccoast.org target=_blank>more info...</a>;P;Parking
Dorset;50.62111;-2.27667;Durdle Door je naravni apnencasti lok na Jurski obali, na zasebnem zemljiscu Welds-ov, odprto za javnost, ob poti SW Coast path, <a href=http://www.jurassiccoast.org target=_blank>more info...</a>;Z;Zanimivo
Dorset;50.69740;-2.21714;Monkey World, resevalni center za opice, cca 240 primatov, 12F vstopnina od 10-17h;Z;Zanimivo
Dorset;50.70556;-2.98989;Jurassic Coast, Dorset and East Devon Coast, UNESCO Naravna dediscina,;Z;Unesco
Dover;51.12155;1.31401;P, prvih 200 metrov je AD parkiranje dovoljeno in ponoci brezplacno, WC;P;Parking
Dover;51.12388;1.31778;P Dover, tik ob obali P Marine Parade - placljivo 9-18h;P;Parking
Dover;51.12713;1.32847;vhod v pristanisce, dovoljeno spanje;P;Parking
Dover;51.13062;1.34127;P za dostop do belih pecin,White Cliffs of Dover;P;Parking
Downe;51.33196;0.05220;Home of Charles Darwin, odprto od 10-00 do 18-00, vstopnina F10.60;Z;Zanimivo
Durham;54.77472;-1.57611;Durham Castle and Cathedral, UNESCO Kulturna dediscina;Z;Unesco
Durham;54.78031;-1.57516;P od 22-8 brezplacno,sicer 0.8F/h;P;Parking
Fenstanton;52.29311;-0.05922;Voda na pipo, na Shell crpalki;V;Voda
Folkestone;51.07737;1.18223;placljiv P in spanje;P;Parking
Formby;53.55146;-3.09502;P, velike plaze, sipine, borovci, 6F parking, spanje;P;Parking
Gateshead;54.91411;-1.58952;Angel of the North, zelezna skulptura angela, cca 20m visok, in 54m razpon kril, tezak 208T;Z;Zanimivo
Glastonbury;51.14485;-2.69861;Glastonbury Tor, srednjeveski stolp na vrhu hribcka, lepi razgledi, zelo obiskana tocka;Z;Zanimivo
Grasmere;54.44988;-3.00364;P ob reki Rothay, 7F/dan, lep sprehod;P;Parking
Grasmere;54.45624;-3.01988;P, placljivo, na robu vasi, izhodisce za planinske izlete;P;Parking
Grasmere;54.45793;-3.02376;Prodajalna Sarah Nelson Gingerbread, majhen P ob cesti pred trgovino;P;Parking
Greenwich;51.47778;0.00000;Maritime Greenwich, UNESCO Kulturna dediscina, park je odprt do 22-00 zvecer, parkirnina 1F/uro;Z;Unesco
Hever;51.18385;0.11065;P pri gradu Hever;P;Parking
Hexham;54.99152;-2.36566;P, Vindolanda, rimsko mesto;P;Parking
Heysham;54.05378;-2.89414;Spanje v slepi ulici na obalnem sprehajaliscu HEYSHAM blizu Morecamba;P;Parking
Hooley;51.28320;-0.13888;Kamp Alderstead Heath, 20km J od Londona, drago, urejeno, sanitarna postaja, bus do vlaka ta do podzemne in raziskovat London;KAMP;KAMP
Hooley;51.28729;-0.15510;P ob cesti, spanje, hrupno, J od Londona;P;Parking
